category_id,employee_id,category_name,rating,quantity_sold,being_manufactured,total_sold_value
RTH,2818,Microcar,19 %,42709,1,8039075
SLU,2662,Minivan,80 %,49313,1,4772193
OMS,2084,Sports Car,4 %,70036,1,2596872
FOF,3643,Sedan,41 %,92371,1,4831875
BAZ,4231,Convertible,60 %,19984,1,3728657
PLL,546,Hatchback,16 %,35517,1,7485352
PUD,1629,Electric Car,40 %,26964,1,3459841
SNA,3125,Sedan,31 %,29698,1,6445784
AKS,1431,Electric Car,23 %,13004,1,7357091
URD,2830,Coupe,50 %,78162,1,1890351
UAL,848,Crossover,40 %,42755,1,4194777
MPZ,4405,Sports Car,99 %,52199,1,3892403
IOU,2521,Coupe-SUV,11 %,30032,1,1900451
RXO,4149,Convertible,60 %,51683,1,3476425
WSP,3236,Microcar,19 %,72966,1,2435208
YJB,1061,SUV (Sport Utility Vehicle),29 %,19235,1,8267104
LFB,3871,Coupe,97 %,40769,1,355268
KCY,2000,Coupe-SUV,14 %,77618,1,9908063
WDX,2006,Crossover,29 %,37762,1,6736656
NKK,2088,SUV (Sport Utility Vehicle),41 %,74209,1,9971177
HUV,1656,Pickup Truck,22 %,36430,1,2930800
ZDJ,4581,Sports Car,10 %,45928,1,6438202
IBO,597,Sedan,10 %,68195,1,7124153
UWT,1573,Sedan,22 %,43309,1,3237695
FDT,707,Pickup Truck,23 %,46802,1,2375620
ANY,1195,Pickup Truck,52 %,28066,1,3583776
HKL,4462,Minivan,43 %,59096,1,904213
EVN,2482,Minivan,18 %,67348,1,1368722
PTL,1136,Sedan,50 %,23640,1,6319679
XKN,3249,Coupe-SUV,70 %,63504,1,4167201
XOY,4341,Convertible,67 %,93920,1,2568495
JIY,3824,Luxury Car,46 %,77120,1,5243889
GYL,958,Off-Road Vehicle,6 %,95110,1,3553383
FMD,1015,Coupe,68 %,96810,1,814964
SYJ,2813,Microcar,65 %,97006,1,3669721
VVN,1939,Minivan,66 %,64909,1,5501941
HUR,4316,Electric Car,23 %,79686,1,1696200
JNW,3123,Crossover,17 %,86795,1,2025285
LLG,1587,Microcar,17 %,35937,1,2202635
ERN,2893,Hybrid Car,33 %,71656,1,1375214
IXT,1868,Off-Road Vehicle,3 %,93976,1,4624384
TFJ,1621,Minivan,98 %,13660,1,3792939
NUU,3918,Sedan,44 %,19669,1,3463297
BCU,4516,Coupe-SUV,63 %,56840,1,4050095
KEM,3535,Sedan,97 %,18934,1,9854479
CQS,1988,Off-Road Vehicle,13 %,47554,1,3167700
CHA,2000,Hatchback,46 %,24986,1,7811087
XIV,3085,Off-Road Vehicle,55 %,43880,1,4555266
ISD,3763,Coupe-SUV,63 %,99915,1,9046859
NRB,753,Crossover,91 %,82220,1,2273435
UBG,4424,Hybrid Car,45 %,38807,1,3534946
MFF,1605,Hybrid Car,2 %,94104,1,4393370
VDB,1787,Off-Road Vehicle,100 %,60120,1,1513793
MZR,1827,Crossover,87 %,60615,1,7567890
PYS,533,Off-Road Vehicle,16 %,64620,1,1211547
KXK,4371,Off-Road Vehicle,90 %,71966,1,9132071
MEI,1556,Convertible,80 %,94015,1,9936083
QWG,1945,Sports Car,62 %,75645,1,3954115
UJJ,1655,Crossover,88 %,77010,1,5284647
RTM,4053,Crossover,84 %,65160,1,5515734
UQM,661,Sports Car,81 %,91471,1,8843601
LZI,1710,Hatchback,24 %,24676,1,5045400
AHD,1611,Coupe,67 %,63154,1,1783083
FVZ,1401,SUV (Sport Utility Vehicle),65 %,59489,1,7596558
OVI,2931,Minivan,81 %,15013,1,1830048
SAR,1310,Minivan,79 %,80598,1,4709393
MXE,968,Hatchback,43 %,87210,1,3704549
GZA,3968,Coupe,1 %,90238,1,397983
MPC,3252,Sports Car,87 %,38581,1,3327419
JTU,3799,Coupe,73 %,20902,1,454672
UPS,3050,Electric Car,33 %,41415,1,266016
FBP,1015,Minivan,36 %,99421,1,1520985
TQX,3889,Hatchback,3 %,45234,1,9396943
YKU,4325,Coupe-SUV,8 %,28585,1,6290949
UXB,2601,SUV (Sport Utility Vehicle),65 %,16153,1,6921319
ZHL,3729,Electric Car,35 %,27694,1,928007
IKA,2450,Electric Car,14 %,66124,1,8818829
CVL,707,Coupe-SUV,99 %,53646,1,685598
URA,1066,Hybrid Car,45 %,96524,1,4504281
OAF,3941,Convertible,91 %,46390,1,6116279
GSK,1161,Coupe,99 %,85226,1,8913714
VNL,2267,Minivan,8 %,54689,1,3612890
RZC,553,Hybrid Car,50 %,96494,1,2187886
NGQ,1358,Hybrid Car,53 %,41266,1,1912197
KWP,4694,Microcar,14 %,38060,1,3303084
POT,2391,Pickup Truck,48 %,75398,1,2794619
ZTG,661,Sports Car,95 %,89676,1,8249668
ZWN,1968,Hybrid Car,11 %,14299,1,5857875
CTI,1199,Electric Car,62 %,39161,1,9731328
REQ,4336,Off-Road Vehicle,46 %,71128,1,4629896
FNM,4615,Electric Car,23 %,83513,1,8022841
RYV,2346,Luxury Car,12 %,17387,1,6272238
HVT,2183,Microcar,45 %,29415,1,5786985
JGX,2675,Sedan,32 %,38536,1,4712637
VYG,2420,Sports Car,35 %,46941,1,4420290
FVT,1496,Hatchback,37 %,88821,1,4619654
LNV,1866,Electric Car,84 %,58315,1,9812808
QME,4331,SUV (Sport Utility Vehicle),50 %,35262,1,9587818
GYE,4628,Convertible,66 %,16104,1,1134473
FHJ,1278,Sports Car,90 %,31795,1,6822215
KFN,574,Convertible,44 %,89408,1,7730884
UDP,2616,Minivan,99 %,32851,1,7909280
GUG,1401,Coupe-SUV,93 %,99849,1,2696580
IYK,3862,Luxury Car,40 %,57280,1,5835560
DFC,1051,Coupe-SUV,87 %,49908,1,4954910
SES,2104,Off-Road Vehicle,54 %,60741,1,6841314
WZO,2742,Crossover,77 %,36728,1,2128858
VIC,1602,Luxury Car,49 %,85308,1,4894059
LSV,855,Coupe-SUV,56 %,69168,1,426388
FMM,3696,Pickup Truck,42 %,69122,1,775336
ZHN,4439,Sports Car,66 %,46483,1,4403194
DUL,3211,Pickup Truck,84 %,62525,1,5585117
XDF,2275,Coupe,51 %,21520,1,8413262
PRX,3981,Hatchback,13 %,83468,1,3585754
XBV,4178,Electric Car,69 %,91123,1,261280
MEV,3902,Convertible,59 %,41286,1,623145
TWP,3566,Minivan,41 %,49392,1,7010452
PXD,4279,Convertible,73 %,36451,1,3823785
QYM,1592,Hatchback,30 %,31484,1,960593
AOC,3112,Hybrid Car,13 %,51576,1,9656670
BOI,2282,Coupe-SUV,50 %,26726,1,1545445
HPN,4303,Coupe,8 %,17114,1,3544624
KXY,2597,Electric Car,27 %,34565,1,5176673
LBB,3036,Hybrid Car,79 %,19610,1,4726979
VFF,723,Pickup Truck,72 %,15326,1,9648126
RDU,4041,Off-Road Vehicle,96 %,47547,1,4116408
KOV,4184,Crossover,77 %,33600,1,9401985
UCL,1105,Sedan,82 %,71898,1,3284496
WOZ,1472,Minivan,23 %,61790,1,4400474
PGF,548,Hatchback,91 %,30672,1,7467866
HQI,2197,Coupe-SUV,63 %,68577,1,5195024
NUF,1100,Pickup Truck,69 %,90549,1,2535256
PMO,839,Luxury Car,41 %,37790,1,8506725
IRA,3859,Electric Car,30 %,75830,1,3240787
CPB,3805,Hybrid Car,17 %,53217,1,1923187
EMA,694,Pickup Truck,100 %,72651,1,1935206
SZX,1526,Sedan,3 %,95627,1,8778148
TRS,3570,Coupe-SUV,11 %,12979,1,3835317
YQP,3050,Sports Car,81 %,83955,1,3818402
UYZ,4172,Luxury Car,8 %,49079,1,1194773
WPP,1779,Sports Car,30 %,67212,1,7933588
TCQ,1890,SUV (Sport Utility Vehicle),97 %,37232,1,5040324
XFG,637,Luxury Car,77 %,94278,1,5786081
NZX,606,Sedan,61 %,62401,1,7776923
DEG,4606,Convertible,20 %,78261,1,9180164
CXW,804,Coupe,73 %,39143,1,6636896
AVS,2787,Sedan,50 %,43719,1,8179038
SEP,4510,Luxury Car,53 %,49376,1,9754189
USM,3659,Convertible,49 %,91701,1,2804198
DDN,2875,Coupe-SUV,39 %,14534,1,6150462
FWD,4325,Coupe-SUV,56 %,40908,1,8300127
NLO,976,Hybrid Car,93 %,78549,1,1390210
TJP,2975,Coupe-SUV,2 %,86050,1,4296708
NBR,3328,Sports Car,20 %,93096,1,2949051
WFT,3399,Coupe,42 %,36643,1,4684603
HPT,2729,Electric Car,87 %,52310,1,7615355
MEG,584,Pickup Truck,81 %,51354,1,570278
SBI,4331,Sports Car,12 %,57434,1,5084954
XHL,550,Sports Car,68 %,55530,1,3656271
JOM,1917,Pickup Truck,59 %,85896,1,5611128
ABZ,3242,Convertible,96 %,72473,1,3077769
DRR,1833,Pickup Truck,80 %,72321,1,3064843
RDC,1522,Hatchback,95 %,29898,1,1714600
CJO,2460,Off-Road Vehicle,21 %,93712,1,6907504
IZS,4569,Microcar,21 %,16080,1,8517658
UKO,4696,Off-Road Vehicle,33 %,28907,1,1254363
CGM,3351,Electric Car,70 %,34329,1,3106533
IYQ,787,Crossover,56 %,30758,1,8885721
GMZ,4056,Coupe,92 %,74427,1,9190805
ASB,1895,Coupe-SUV,73 %,56399,1,2615417
HUQ,2119,Microcar,74 %,91713,1,1849509
DGQ,3318,Minivan,7 %,48798,1,4844893
MLG,2248,Microcar,46 %,42987,1,2728657
BRE,3937,Pickup Truck,10 %,62058,1,5682253
JKM,1002,Electric Car,76 %,88845,1,8961392
VDO,3141,Coupe,4 %,88141,1,2662833
HTM,991,Sports Car,70 %,81198,1,8466326
OXU,2363,Luxury Car,2 %,61926,1,8531162
ZVJ,2915,Sedan,13 %,54088,1,3531638
KKI,3237,Crossover,65 %,72103,1,9676408
NQN,2099,Hybrid Car,49 %,61027,1,8311921
TSF,1444,Pickup Truck,20 %,95586,1,9120019
DPW,1351,Microcar,60 %,34814,1,5287344
OCZ,1698,Off-Road Vehicle,40 %,32319,1,7021018
XZJ,3571,Hybrid Car,45 %,98579,1,7511632
MNW,595,Coupe,20 %,42039,1,6858968
WBP,2713,Hatchback,13 %,48909,1,5086471
SBF,2298,Hatchback,98 %,76959,1,6233239
AGX,4327,Sedan,81 %,36565,1,8670262
EUD,3843,Convertible,31 %,82454,1,8005753
KPT,3490,Off-Road Vehicle,17 %,16646,1,667300
DTU,4097,Hatchback,35 %,75948,1,1014265
IAR,4684,Hatchback,17 %,96843,1,6132977
LIT,1419,SUV (Sport Utility Vehicle),54 %,16926,1,8374300
PKW,1355,Convertible,42 %,12652,1,1152683
XTC,1759,Off-Road Vehicle,47 %,68808,1,3122779
ETR,1094,Pickup Truck,78 %,85286,1,8969952
KOW,1846,Minivan,30 %,26154,1,8220711
VGA,4623,Microcar,70 %,66328,1,4364791
JWI,2017,Hatchback,31 %,74673,1,6703140
MKB,4125,Coupe,75 %,88695,1,603315
SNB,2462,Sports Car,27 %,42462,1,5235517
ZPS,2696,Sedan,59 %,63735,1,2670903
FEO,507,Sedan,79 %,62647,1,8933486
LXA,4113,Convertible,89 %,37460,1,1109912
BGD,507,Crossover,70 %,23468,1,5040613
JCJ,2081,Crossover,96 %,90264,1,1687564
NWP,1594,Crossover,78 %,94621,1,1865820
UNR,3608,Sports Car,39 %,28237,1,5101965
HUL,2947,Pickup Truck,68 %,94500,1,3446909
SJA,1723,Hatchback,8 %,38116,1,9551275
ZJK,3862,Pickup Truck,87 %,12915,1,3704515
MUF,3357,Coupe-SUV,53 %,36200,1,3111191
GOF,3480,Off-Road Vehicle,54 %,63789,1,5363186
YYP,1090,Luxury Car,51 %,18471,1,8858860
HYA,3116,Minivan,29 %,57166,1,1820052
FXT,2872,Hybrid Car,93 %,89172,1,3002919
GII,2425,Sedan,63 %,80454,1,9604093
JPZ,4692,Off-Road Vehicle,5 %,62097,1,9169036
VGP,2718,Sports Car,46 %,12899,1,8691937
DGK,4678,Coupe-SUV,91 %,92551,1,2805352
ENE,3655,Electric Car,76 %,71325,1,3910760
KJI,2720,Electric Car,74 %,33302,1,3093921
KFQ,4636,Microcar,16 %,71570,1,2194708
MNE,1405,Sports Car,25 %,76108,1,8670949
UQG,953,Sports Car,77 %,24867,1,3659214
HIS,1094,Crossover,75 %,67027,1,9923562
DCP,2359,Sedan,14 %,87408,1,4325999
KRS,2569,Pickup Truck,93 %,43666,1,6205291
HQC,4215,Crossover,55 %,27203,1,5715287
QOY,3931,Hatchback,6 %,71951,1,6424556
IAB,4178,Minivan,91 %,86217,1,9448374
WGI,1396,Convertible,6 %,99028,1,401686
AMT,2849,Minivan,60 %,25759,1,7517000
FPW,3411,Electric Car,98 %,78139,1,7292461
CHR,1145,Off-Road Vehicle,17 %,60193,1,5648852
QLZ,1268,Hybrid Car,34 %,27399,1,6327750
YNJ,528,Minivan,70 %,69647,1,8937402
UNG,891,Luxury Car,81 %,97163,1,4996228
MKS,2393,Hybrid Car,92 %,25725,1,6721090
EUM,2165,Minivan,32 %,26775,1,1116609
ERG,1011,Convertible,68 %,42148,1,9168734
UEC,1625,Pickup Truck,50 %,80175,1,6081840
DXT,3610,Convertible,64 %,18137,1,2174400
ZWS,1220,Hatchback,39 %,43533,1,620642
TNJ,4678,Luxury Car,6 %,12680,1,6391313
RPJ,1486,Luxury Car,81 %,79699,1,566416
IOX,1078,Pickup Truck,30 %,16049,1,1223658
RWC,1128,Off-Road Vehicle,5 %,37266,1,8863781
SJL,4188,Sedan,92 %,79079,1,388516
ZQA,678,Hatchback,78 %,45348,1,3809440
UDJ,1448,Sedan,96 %,89079,1,2560941
VQP,1058,Microcar,90 %,19714,1,9852376
PUG,2208,Coupe,9 %,99736,1,1741982
NTL,658,Sedan,78 %,64064,1,2060755
YSS,3556,Sports Car,2 %,81538,1,8491812
VTO,4625,Coupe,22 %,85225,1,892207
WGZ,3347,Convertible,85 %,98948,1,1000099
NAH,3204,Coupe-SUV,19 %,21606,1,1199434
NQB,1108,Coupe,34 %,82354,1,4621503
BNC,4367,Off-Road Vehicle,1 %,77161,1,1192783
ZLI,3311,Off-Road Vehicle,36 %,87748,1,9110909
KWR,803,SUV (Sport Utility Vehicle),54 %,85135,1,5396381
CQI,4609,Coupe-SUV,30 %,43623,1,6301161
EKV,3573,Pickup Truck,33 %,22077,1,9901170
VCO,4159,Hybrid Car,51 %,43985,1,6209691
VIG,3088,Microcar,56 %,16997,1,6608874
ESU,4179,SUV (Sport Utility Vehicle),54 %,78494,1,628822
IKZ,742,Coupe-SUV,86 %,54920,1,9042169
ERQ,3496,Microcar,3 %,44949,1,9983904
WHR,896,Hatchback,92 %,89142,1,9987099
JWE,1797,SUV (Sport Utility Vehicle),28 %,36144,1,5263618
KES,3833,Coupe-SUV,68 %,35207,1,823416
AXV,1628,Coupe-SUV,72 %,79690,1,483246
FTP,4120,Sports Car,4 %,28844,1,8227002
TUO,4394,Sports Car,33 %,39926,1,2087496
OZU,3786,Sedan,9 %,93500,1,9539585
ERD,4229,Electric Car,98 %,30473,1,5586302
MQP,3612,SUV (Sport Utility Vehicle),74 %,15843,1,3087012
FHF,3206,Microcar,11 %,25427,1,4434621
XJF,3843,Convertible,34 %,30243,1,2171334
NTQ,4016,Crossover,7 %,58521,1,6233980
MCQ,1426,Microcar,17 %,29815,1,2281461
HLZ,3762,Coupe-SUV,83 %,17567,1,5986674
BOG,1992,Microcar,28 %,42155,1,762215
UDN,3852,Convertible,21 %,56941,1,3555736
JSA,4636,Sports Car,42 %,56391,1,430473
RGY,4090,Convertible,65 %,27105,1,9431779
HYP,2834,Electric Car,17 %,51226,1,9212173
YUH,1744,Coupe-SUV,85 %,68323,1,7435538
HTO,1236,Sports Car,10 %,27174,1,8509572
EGI,3230,Convertible,1 %,76745,1,9065503
APB,2018,Convertible,90 %,64343,1,6269122
MMI,1164,Hybrid Car,73 %,65059,1,673652
ENX,1903,Electric Car,65 %,15895,1,4857046
MHB,1826,Hatchback,80 %,54450,1,1696422
MAO,1316,Electric Car,83 %,73071,1,4320413
HAM,1859,Luxury Car,41 %,84993,1,1682031
DAX,4311,Coupe-SUV,10 %,28120,1,7842227
MTP,1749,Sports Car,47 %,49159,1,6411389
YCD,2566,Sports Car,96 %,90621,1,7139606
OFC,2330,Sports Car,93 %,66705,1,1768238
OAE,4293,Off-Road Vehicle,17 %,97980,1,1038319
UAC,849,Luxury Car,16 %,43407,1,9808758
SRS,2861,Electric Car,36 %,32084,1,1813840
OBB,1386,SUV (Sport Utility Vehicle),78 %,31443,1,5162974
APR,4041,Pickup Truck,49 %,68591,1,6550315
YWQ,828,SUV (Sport Utility Vehicle),8 %,14517,1,6405216
FGZ,2501,Coupe,78 %,14619,1,298548
UUT,840,Minivan,19 %,47099,1,2628643
CSE,3145,Coupe-SUV,22 %,19364,1,1172268
DAF,3204,Minivan,91 %,48282,1,9667907
YUB,2128,Luxury Car,90 %,82459,1,1232514
DIA,3522,Off-Road Vehicle,22 %,59769,1,8434096
ATE,3502,Electric Car,80 %,41745,1,2526608
YRM,1183,Coupe,70 %,98759,1,1085550
WED,4262,Pickup Truck,96 %,88854,1,2079925
RAS,3663,Hatchback,62 %,78196,1,4890153
YLR,2324,Coupe,43 %,94655,1,4521384
ZOQ,3286,Off-Road Vehicle,73 %,35834,1,6954757
RMB,1818,Off-Road Vehicle,33 %,29811,1,1116939
WLO,3535,Sports Car,45 %,69893,1,2534102
KXN,2853,Hatchback,74 %,76279,1,6594880
DND,1801,Coupe,45 %,48523,1,8914215
NJA,1593,Off-Road Vehicle,91 %,50409,1,8016207
WWN,2958,Hatchback,60 %,69246,1,8322578
APS,2238,Off-Road Vehicle,24 %,50735,1,7713443
SZQ,2911,Sports Car,24 %,81352,1,5257938
HJO,3345,Coupe,95 %,97782,1,9006316
MAL,3622,SUV (Sport Utility Vehicle),12 %,77640,1,8805246
FPO,4040,Convertible,73 %,32020,1,6931981
KMN,2907,Hatchback,52 %,61266,1,1788807
MVQ,803,Convertible,84 %,43140,1,7853686
HXZ,2925,SUV (Sport Utility Vehicle),45 %,27744,1,3495389
HVG,1563,Electric Car,81 %,30930,1,659060
BGG,4023,Coupe,20 %,57910,1,5421678
EKE,4560,Hybrid Car,23 %,12797,1,5029790
YDG,614,Sports Car,21 %,60842,1,3881766
ICH,4519,Crossover,69 %,20886,1,720996
ICF,4093,Sedan,82 %,90486,1,4217239
SMK,2722,SUV (Sport Utility Vehicle),30 %,53858,1,2744411
PKE,3670,Hatchback,2 %,39513,1,609411
RGE,979,Convertible,78 %,84363,1,6431761
MPW,4604,Coupe-SUV,51 %,95972,1,1000098
IKX,2637,Off-Road Vehicle,36 %,18871,1,3549658
WLI,2303,Microcar,47 %,92288,1,7650076
QXM,1877,Coupe,60 %,88970,1,3481391
IAA,768,SUV (Sport Utility Vehicle),49 %,33562,1,6491711
AGH,2978,Electric Car,42 %,18681,1,2688847
KFP,1237,Convertible,96 %,65308,1,3218489
OVU,1116,Electric Car,54 %,78467,1,1128920
LVP,3949,Sedan,16 %,89656,1,3775476
LYY,3214,Pickup Truck,83 %,59909,1,9349498
TTL,2323,Sedan,86 %,43580,1,6633862
KJV,4355,Luxury Car,77 %,81640,1,7128122
NAO,1179,Convertible,8 %,67107,1,1400922
CMI,2777,Sports Car,23 %,56063,1,4542457
MNX,4633,Luxury Car,38 %,47629,1,3132868
NIF,3452,Convertible,43 %,38261,1,8218146
ZVS,2317,Sedan,95 %,67098,1,3979151
NTP,3943,Hatchback,6 %,89406,1,2724964
LXP,3647,Off-Road Vehicle,47 %,21975,1,8692907
PBP,3416,Sports Car,22 %,18828,1,6747693
QEZ,3754,Sports Car,29 %,84289,1,317581
ABM,3222,Minivan,99 %,16728,1,5152568
ERK,2631,Sports Car,40 %,55150,1,6334140
CLK,3760,Sports Car,81 %,40271,1,786260
KCU,597,Off-Road Vehicle,35 %,36836,1,8063379
PTD,2238,Electric Car,93 %,64244,1,9380398
OEG,2804,Electric Car,36 %,85491,1,9871483
ZCU,3632,Off-Road Vehicle,9 %,67051,1,6631380
IQB,3242,Minivan,3 %,87401,1,7036177
EPU,3977,Pickup Truck,6 %,57138,1,7823706
FQS,1552,Microcar,8 %,20696,1,6485421
NPM,2984,Off-Road Vehicle,68 %,71969,1,9074930
FRT,3540,Electric Car,52 %,73386,1,1222722
SNL,4428,Pickup Truck,19 %,69312,1,417506
ZLZ,931,Electric Car,74 %,77306,1,8906957
MFG,1800,SUV (Sport Utility Vehicle),8 %,69244,1,1241139
CJN,1082,Pickup Truck,86 %,18205,1,288187
WHW,3019,Coupe-SUV,42 %,57673,1,3254054
AHU,1478,SUV (Sport Utility Vehicle),33 %,66193,1,2605534
HKO,1720,Crossover,40 %,53825,1,7484133
JVS,3430,Electric Car,20 %,95425,1,2644759
NEV,1257,SUV (Sport Utility Vehicle),37 %,23421,1,9767781
OBV,1749,SUV (Sport Utility Vehicle),19 %,55145,1,6013765
DXM,3912,Microcar,73 %,33467,1,4952660
FPU,3673,Sedan,97 %,43720,1,7584707
GZE,1486,Minivan,83 %,83741,1,5976737
DII,1738,Electric Car,75 %,97740,1,1321595
BZY,3525,Minivan,48 %,76163,1,5008093
BZH,1657,Electric Car,4 %,57576,1,6552617
WRK,4261,Microcar,59 %,28614,1,6554610
DYP,2991,Sports Car,68 %,35756,1,7153699
SUG,4079,Microcar,8 %,78585,1,4374436
GIB,4164,Sedan,25 %,80005,1,624517
BEI,3710,Hybrid Car,36 %,77159,1,4808697
PXM,2662,Hatchback,74 %,58268,1,4201025
OXW,4266,Convertible,73 %,39996,1,4685868
VPN,2689,Coupe,2 %,69726,1,1462211
UIT,3511,SUV (Sport Utility Vehicle),68 %,91892,1,1822121
ZUC,2860,Coupe,26 %,26818,1,2210936
KFS,1376,Electric Car,37 %,65944,1,939807
GNF,1517,Crossover,11 %,63280,1,9467613
LHY,2815,Hybrid Car,6 %,92984,1,9243625
HMX,4438,Coupe-SUV,14 %,35023,1,8587654
PNS,1162,Coupe-SUV,1 %,32731,1,3210783
MIS,916,Microcar,4 %,53946,1,2511261
ZIN,4482,Microcar,63 %,58984,1,9805501
APU,3774,Microcar,82 %,60160,1,4370733
KZB,3254,Pickup Truck,75 %,59387,1,5437638
QPT,2289,Coupe-SUV,48 %,73339,1,3802255
QOE,2408,Crossover,34 %,97322,1,2416238
GTP,1968,Hybrid Car,81 %,46674,1,9822632
IEK,1204,Minivan,41 %,21648,1,816797
RQA,3194,Coupe,61 %,54866,1,3092672
IYB,2536,Microcar,87 %,16103,1,7975645
EXK,1535,Pickup Truck,67 %,38038,1,8245817
ALQ,1467,Electric Car,51 %,63321,1,8168548
VBT,4446,Sedan,58 %,65606,1,5297537
ZXQ,4081,Coupe-SUV,22 %,40285,1,4291216
ELA,3183,Microcar,95 %,92521,1,7704149
EOR,2763,Coupe,25 %,60052,1,4992307
PPT,4488,Sedan,22 %,13717,1,379316
XIJ,535,Off-Road Vehicle,18 %,18194,1,554692
VWS,2506,Electric Car,52 %,52578,1,9993877
EBL,541,Sedan,51 %,87516,1,9787945
CIU,2155,Sports Car,92 %,19264,1,5388931
WJS,755,Minivan,25 %,31981,1,6633756
VPC,4219,Convertible,13 %,71694,1,6352087
MRA,2703,Convertible,17 %,89867,1,9172147
LFC,4618,Off-Road Vehicle,76 %,33657,1,7650341
LGP,1709,Luxury Car,40 %,54311,1,4559003
JFA,2684,Crossover,43 %,17281,1,2469646
FRV,940,Convertible,26 %,14427,1,6430158
RBU,2786,Minivan,64 %,42132,1,3513273
DFX,4500,Sports Car,61 %,63095,1,7831233
TVG,3487,Hatchback,13 %,91921,1,6702490
BFH,3316,Sedan,22 %,18753,1,6526506
KRE,4294,Coupe,49 %,13568,1,3339720
QFV,2646,Hybrid Car,69 %,85541,1,3022274
JOI,1629,Sports Car,66 %,91871,1,2766288
NFR,817,Microcar,6 %,49479,1,8943848
FSI,3467,Hatchback,49 %,27137,1,7922361
DTW,605,Hybrid Car,14 %,97510,1,5331532
PCF,3718,Hatchback,48 %,67825,1,4941201
RZD,2713,Coupe-SUV,43 %,75069,1,6387566
BWR,4223,Coupe,47 %,65639,1,1022143
CZR,1381,Microcar,28 %,59269,1,7731182
WZQ,860,Sedan,37 %,33611,1,4833506
CCZ,3740,Minivan,72 %,69692,1,1001603
YHE,2699,Coupe-SUV,25 %,94306,1,9345850
ZAF,3553,Sports Car,3 %,69896,1,8389483
VAA,2246,Sports Car,65 %,84875,1,9141035
UBV,1095,Luxury Car,34 %,38438,1,6860948
BJX,912,Hybrid Car,93 %,48373,1,4160082
RDR,4395,Electric Car,7 %,80387,1,587307
GZH,2654,Sports Car,23 %,97099,1,3565471
DHP,4149,Off-Road Vehicle,28 %,98991,1,2870334
OLA,2672,Luxury Car,80 %,33000,1,2938723
ILL,1796,Microcar,53 %,80157,1,3551451
QBY,1263,SUV (Sport Utility Vehicle),88 %,49357,1,6803909
ZQV,673,SUV (Sport Utility Vehicle),64 %,74717,1,3955472
PPG,3182,Pickup Truck,70 %,32559,1,7812964
CLB,1369,Luxury Car,25 %,41572,1,5344882
ELI,928,Crossover,27 %,71737,1,2040176
HZD,1689,Luxury Car,75 %,59845,1,1587996
MKV,1983,Electric Car,27 %,24237,1,2859416
BCL,3429,Minivan,62 %,14535,1,3146137
GAV,2429,Pickup Truck,44 %,20189,1,6222416
VRH,4524,Minivan,84 %,26538,1,7110521
XNS,2552,Electric Car,36 %,17652,1,3850217
TJU,2046,Sedan,45 %,46397,1,9440476
OBA,2865,SUV (Sport Utility Vehicle),60 %,77839,1,2160962
OYZ,2697,Microcar,45 %,91411,1,7567969
MOK,4223,Minivan,16 %,80004,1,4929582
IRD,1435,Coupe,91 %,75297,1,6737004
IMJ,1613,Minivan,90 %,52353,1,5583014
ELD,828,Microcar,89 %,32544,1,5499716
XOO,1530,Pickup Truck,72 %,14057,1,2224385
ZWW,584,Luxury Car,47 %,75643,1,2173294
JRH,2047,Coupe,11 %,62309,1,1576225
THG,2900,Off-Road Vehicle,61 %,28155,1,4450457
AWN,968,Coupe,77 %,17048,1,3319400
RWW,2131,Sports Car,18 %,66223,1,7665144
ECT,3561,Sports Car,47 %,90027,1,4458869
RFB,4672,Coupe-SUV,68 %,97380,1,8529227
PCZ,3182,SUV (Sport Utility Vehicle),55 %,68680,1,2823271
UXO,3036,Microcar,75 %,16596,1,5896487
TFW,4546,SUV (Sport Utility Vehicle),99 %,54639,1,7770421
LEG,2508,Crossover,2 %,85957,1,8519834
LPX,3440,Microcar,30 %,96487,1,4142953
JOX,3397,Crossover,59 %,75132,1,1528325
FAV,1613,Coupe,5 %,82178,1,4063545
OEN,4292,Microcar,39 %,36319,1,5398603
ODW,4000,Microcar,53 %,49593,1,3245012
SQC,4383,Off-Road Vehicle,62 %,39200,1,2428281
JFB,2361,Crossover,89 %,54134,1,8630166
SXA,4227,Microcar,1 %,27927,1,5470272
EEF,3980,Pickup Truck,55 %,50062,1,2443258
FJS,2467,Sports Car,19 %,78604,1,1468348
JAT,2693,Sedan,30 %,37099,1,5951606
ZQU,4496,Pickup Truck,96 %,32267,1,7558375
TNT,1237,Luxury Car,10 %,92161,1,4752137
ROH,873,Hybrid Car,82 %,90729,1,6509464
GZM,2578,Coupe-SUV,85 %,13466,1,3849041
IFE,1913,Coupe,76 %,16324,1,6556527
IFD,2688,Coupe-SUV,17 %,62602,1,7185356
THV,1186,Microcar,68 %,53474,1,1648111
WZR,2105,Luxury Car,58 %,27163,1,1114228
JPO,3282,Electric Car,29 %,84783,1,2871967
SCW,2903,Luxury Car,67 %,62440,1,9653768
WXX,2908,Minivan,1 %,42649,1,6110652
KTN,3266,Microcar,45 %,41499,1,6718001
GNH,1970,Crossover,45 %,55530,1,7524363
RPW,3919,Hatchback,65 %,81651,1,2511358
HMW,2878,Off-Road Vehicle,62 %,56032,1,1260243
TCN,1429,Crossover,18 %,49170,1,8036687
JIA,976,Sports Car,81 %,52543,1,1420107
